p q
16 .0158762666
32 .0181546666
64 .0283584000
128 .1049258666
192 .3320138666
256 .7732234666
320 1.5190709333
384 2.7299157333
448 4.3226794666
512 6.4414368000
576 9.1737429333
640 12.5595285333
