p q
16 .0107808000
32 .0873365333
64 .6186933333
128 5.1996960000
192 17.0163819666
256 50.2274046000
320 86.3420740333
384 169.0322530666
448 238.9100042000
512 456.4260559333
576 481.9809580333
640 843.3422973666
